requirement_id,stakeholder_group,business_question,required_metric,decision_supported,refresh_cadence,acceptance_test,status
REQ0060,Member support,How should portfolio value change the next operating decision?,portfolio_value,protect margin,monthly,dashboard explains variance,in build
REQ0061,Finance,How should exception rate change the next operating decision?,exception_rate,improve quality,daily,sample reconciles,triaged
REQ0062,Member support,How should service cost change the next operating decision?,service_cost,reduce manual work,daily,sample reconciles,blocked
REQ0063,Risk,How should exception rate change the next operating decision?,exception_rate,protect margin,monthly,dashboard explains variance,validated
REQ0064,Risk,How should cash fill accuracy change the next operating decision?,cash_fill_accuracy,prioritize roadmap,monthly,sample reconciles,new
REQ0065,Risk,How should retention rate change the next operating decision?,retention_rate,focus outreach,daily,action owner assigned,validated
REQ0066,Member support,How should activation rate change the next operating decision?,activation_rate,reduce manual work,weekly,action owner assigned,new
REQ0067,Finance,How should portfolio value change the next operating decision?,portfolio_value,reduce manual work,daily,SQL check passes,validated
REQ0068,Operations,How should exception rate change the next operating decision?,exception_rate,improve quality,weekly,sample reconciles,new
REQ0069,Member support,How should retention rate change the next operating decision?,retention_rate,protect margin,weekly,action owner assigned,validated
REQ0070,Operations,How should retention rate change the next operating decision?,retention_rate,protect margin,near real time,metric owner approved,triaged
REQ0071,Member support,How should cash fill accuracy change the next operating decision?,cash_fill_accuracy,prioritize roadmap,weekly,sample reconciles,blocked
REQ0072,Product,How should activation rate change the next operating decision?,activation_rate,focus outreach,daily,dashboard explains variance,validated
REQ0073,Analytics,How should activation rate change the next operating decision?,activation_rate,sequence launch,near real time,action owner assigned,new
REQ0074,Finance,How should portfolio value change the next operating decision?,portfolio_value,sequence launch,weekly,dashboard explains variance,validated
REQ0075,Finance,How should exception rate change the next operating decision?,exception_rate,prioritize roadmap,weekly,action owner assigned,new
REQ0076,Operations,How should retention rate change the next operating decision?,retention_rate,improve quality,daily,metric owner approved,triaged
REQ0077,Product,How should service cost change the next operating decision?,service_cost,sequence launch,weekly,metric owner approved,new
REQ0078,Member support,How should retention rate change the next operating decision?,retention_rate,protect margin,monthly,action owner assigned,new
REQ0079,Operations,How should exception rate change the next operating decision?,exception_rate,protect margin,near real time,SQL check passes,triaged
REQ0080,Operations,How should exception rate change the next operating decision?,exception_rate,prioritize roadmap,daily,sample reconciles,validated
