check_id,run_date,source_system,table_name,check_type,records_checked,failed_records,failure_rate_pct,severity,status,business_rule
CHK0069,2026-04-12,Field service queue,service_tickets,threshold_breach,219745,9901,4.51,High,fail,Cash and settlement variance remain inside tolerance
CHK0070,2026-04-12,Merchant portal,device_master,vlookup_reconcile,203933,1677,0.82,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0071,2026-04-12,Merchant portal,merchant_master,duplicate_key,202150,1009,0.5,Low,pass,"Device, merchant, and date keys are unique"
CHK0072,2026-04-12,Tableau Prep extract,report_output,duplicate_key,139243,949,0.68,Low,pass,"Device, merchant, and date keys are unique"
CHK0073,2026-04-13,ATM processor,atm_transactions,threshold_breach,212604,5588,2.63,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0074,2026-04-13,Cash logistics file,cash_loads,duplicate_key,193091,1584,0.82,Low,pass,"Device, merchant, and date keys are unique"
CHK0075,2026-04-13,Field service queue,service_tickets,threshold_breach,57753,1400,2.43,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0076,2026-04-13,Merchant portal,device_master,null_required_field,49951,174,0.35,Low,pass,Required reporting dimensions are populated
CHK0077,2026-04-13,Merchant portal,merchant_master,threshold_breach,13130,250,1.91,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0078,2026-04-13,Tableau Prep extract,report_output,duplicate_key,199279,882,0.44,Low,pass,"Device, merchant, and date keys are unique"
CHK0079,2026-04-14,ATM processor,atm_transactions,duplicate_key,9136,120,1.32,Low,pass,"Device, merchant, and date keys are unique"
CHK0080,2026-04-14,Cash logistics file,cash_loads,freshness,142042,1826,1.29,Low,pass,Source delivered before daily reporting cutoff
CHK0081,2026-04-14,Field service queue,service_tickets,duplicate_key,211813,3168,1.5,Low,pass,"Device, merchant, and date keys are unique"
CHK0082,2026-04-14,Merchant portal,device_master,vlookup_reconcile,172254,2169,1.26,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0083,2026-04-14,Merchant portal,merchant_master,definition_drift,123729,448,0.36,Low,pass,Metric logic matches the documented reporting definition
CHK0084,2026-04-14,Tableau Prep extract,report_output,vlookup_reconcile,215234,2750,1.28,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0085,2026-04-15,ATM processor,atm_transactions,vlookup_reconcile,120590,2055,1.7,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0086,2026-04-15,Cash logistics file,cash_loads,null_required_field,46479,695,1.5,Low,pass,Required reporting dimensions are populated
CHK0087,2026-04-15,Field service queue,service_tickets,null_required_field,15404,115,0.75,Low,pass,Required reporting dimensions are populated
CHK0088,2026-04-15,Merchant portal,device_master,duplicate_key,52748,447,0.85,Low,pass,"Device, merchant, and date keys are unique"
CHK0089,2026-04-15,Merchant portal,merchant_master,null_required_field,222307,774,0.35,Low,pass,Required reporting dimensions are populated
CHK0090,2026-04-15,Tableau Prep extract,report_output,vlookup_reconcile,156177,1362,0.87,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0091,2026-04-16,ATM processor,atm_transactions,definition_drift,170927,930,0.54,Low,pass,Metric logic matches the documented reporting definition
CHK0092,2026-04-16,Cash logistics file,cash_loads,null_required_field,210490,0,0,Low,pass,Required reporting dimensions are populated
CHK0093,2026-04-16,Field service queue,service_tickets,duplicate_key,48241,197,0.41,Low,pass,"Device, merchant, and date keys are unique"
CHK0094,2026-04-16,Merchant portal,device_master,freshness,133710,1058,0.79,Low,pass,Source delivered before daily reporting cutoff
CHK0095,2026-04-16,Merchant portal,merchant_master,null_required_field,54921,243,0.44,Low,pass,Required reporting dimensions are populated
CHK0096,2026-04-16,Tableau Prep extract,report_output,null_required_field,81510,333,0.41,Low,pass,Required reporting dimensions are populated
CHK0097,2026-04-17,ATM processor,atm_transactions,null_required_field,154080,2343,1.52,Low,pass,Required reporting dimensions are populated
CHK0098,2026-04-17,Cash logistics file,cash_loads,duplicate_key,42865,191,0.45,Low,pass,"Device, merchant, and date keys are unique"
CHK0099,2026-04-17,Field service queue,service_tickets,null_required_field,17171,134,0.79,Low,pass,Required reporting dimensions are populated
CHK0100,2026-04-17,Merchant portal,device_master,threshold_breach,197282,7495,3.8,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0101,2026-04-17,Merchant portal,merchant_master,definition_drift,53806,309,0.57,Low,pass,Metric logic matches the documented reporting definition
CHK0102,2026-04-17,Tableau Prep extract,report_output,vlookup_reconcile,179388,3671,2.05,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0103,2026-04-18,ATM processor,atm_transactions,definition_drift,186174,556,0.3,Low,pass,Metric logic matches the documented reporting definition
CHK0104,2026-04-18,Cash logistics file,cash_loads,null_required_field,178104,2418,1.36,Low,pass,Required reporting dimensions are populated
CHK0105,2026-04-18,Field service queue,service_tickets,vlookup_reconcile,184450,3573,1.94,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0106,2026-04-18,Merchant portal,device_master,threshold_breach,172842,3424,1.98,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0107,2026-04-18,Merchant portal,merchant_master,duplicate_key,202857,1317,0.65,Low,pass,"Device, merchant, and date keys are unique"
CHK0108,2026-04-18,Tableau Prep extract,report_output,freshness,171410,2279,1.33,Low,pass,Source delivered before daily reporting cutoff
CHK0109,2026-04-19,ATM processor,atm_transactions,freshness,122657,520,0.42,Low,pass,Source delivered before daily reporting cutoff
CHK0110,2026-04-19,Cash logistics file,cash_loads,null_required_field,99959,548,0.55,Low,pass,Required reporting dimensions are populated
CHK0111,2026-04-19,Field service queue,service_tickets,threshold_breach,132241,3691,2.79,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0112,2026-04-19,Merchant portal,device_master,vlookup_reconcile,105292,2406,2.29,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0113,2026-04-19,Merchant portal,merchant_master,threshold_breach,38500,784,2.04,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0114,2026-04-19,Tableau Prep extract,report_output,vlookup_reconcile,98408,1219,1.24,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0115,2026-04-20,ATM processor,atm_transactions,vlookup_reconcile,118126,2255,1.91,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0116,2026-04-20,Cash logistics file,cash_loads,definition_drift,215840,675,0.31,Low,pass,Metric logic matches the documented reporting definition
CHK0117,2026-04-20,Field service queue,service_tickets,threshold_breach,200935,5070,2.52,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0118,2026-04-20,Merchant portal,device_master,freshness,136012,2168,1.59,Low,pass,Source delivered before daily reporting cutoff
CHK0119,2026-04-20,Merchant portal,merchant_master,vlookup_reconcile,69266,1487,2.15,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0120,2026-04-20,Tableau Prep extract,report_output,definition_drift,70990,296,0.42,Low,pass,Metric logic matches the documented reporting definition
CHK0121,2026-04-21,ATM processor,atm_transactions,vlookup_reconcile,119257,1681,1.41,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0122,2026-04-21,Cash logistics file,cash_loads,definition_drift,171422,692,0.4,Low,pass,Metric logic matches the documented reporting definition
CHK0123,2026-04-21,Field service queue,service_tickets,freshness,126473,1633,1.29,Low,pass,Source delivered before daily reporting cutoff
CHK0124,2026-04-21,Merchant portal,device_master,null_required_field,138964,821,0.59,Low,pass,Required reporting dimensions are populated
CHK0125,2026-04-21,Merchant portal,merchant_master,null_required_field,12406,123,1.0,Low,pass,Required reporting dimensions are populated
CHK0126,2026-04-21,Tableau Prep extract,report_output,vlookup_reconcile,146510,3751,2.56,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0127,2026-04-22,ATM processor,atm_transactions,threshold_breach,151818,2230,1.47,Low,pass,Cash and settlement variance remain inside tolerance
CHK0128,2026-04-22,Cash logistics file,cash_loads,definition_drift,56060,380,0.68,Low,pass,Metric logic matches the documented reporting definition
CHK0129,2026-04-22,Field service queue,service_tickets,vlookup_reconcile,142004,898,0.63,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0130,2026-04-22,Merchant portal,device_master,duplicate_key,124147,843,0.68,Low,pass,"Device, merchant, and date keys are unique"
CHK0131,2026-04-22,Merchant portal,merchant_master,null_required_field,128347,1282,1.0,Low,pass,Required reporting dimensions are populated
CHK0132,2026-04-22,Tableau Prep extract,report_output,null_required_field,71662,583,0.81,Low,pass,Required reporting dimensions are populated
CHK0133,2026-04-23,ATM processor,atm_transactions,freshness,30760,393,1.28,Low,pass,Source delivered before daily reporting cutoff
CHK0134,2026-04-23,Cash logistics file,cash_loads,definition_drift,215862,178,0.08,Low,pass,Metric logic matches the documented reporting definition
CHK0135,2026-04-23,Field service queue,service_tickets,definition_drift,52441,62,0.12,Low,pass,Metric logic matches the documented reporting definition
CHK0136,2026-04-23,Merchant portal,device_master,freshness,104984,1567,1.49,Low,pass,Source delivered before daily reporting cutoff
CHK0137,2026-04-23,Merchant portal,merchant_master,freshness,132187,1138,0.86,Low,pass,Source delivered before daily reporting cutoff
CHK0138,2026-04-23,Tableau Prep extract,report_output,vlookup_reconcile,203612,2515,1.24,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0139,2026-04-24,ATM processor,atm_transactions,threshold_breach,155509,2788,1.79,Low,pass,Cash and settlement variance remain inside tolerance
CHK0140,2026-04-24,Cash logistics file,cash_loads,definition_drift,12520,68,0.55,Low,pass,Metric logic matches the documented reporting definition
CHK0141,2026-04-24,Field service queue,service_tickets,freshness,132174,166,0.13,Low,pass,Source delivered before daily reporting cutoff
CHK0142,2026-04-24,Merchant portal,device_master,freshness,74805,1303,1.74,Low,pass,Source delivered before daily reporting cutoff
CHK0143,2026-04-24,Merchant portal,merchant_master,vlookup_reconcile,217399,0,0,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0144,2026-04-24,Tableau Prep extract,report_output,duplicate_key,175007,1292,0.74,Low,pass,"Device, merchant, and date keys are unique"
CHK0145,2026-04-25,ATM processor,atm_transactions,null_required_field,185602,1747,0.94,Low,pass,Required reporting dimensions are populated
CHK0146,2026-04-25,Cash logistics file,cash_loads,freshness,116780,2409,2.06,Medium,watch,Source delivered before daily reporting cutoff
CHK0147,2026-04-25,Field service queue,service_tickets,null_required_field,32618,455,1.4,Low,pass,Required reporting dimensions are populated
CHK0148,2026-04-25,Merchant portal,device_master,duplicate_key,94856,393,0.41,Low,pass,"Device, merchant, and date keys are unique"
CHK0149,2026-04-25,Merchant portal,merchant_master,vlookup_reconcile,75415,1385,1.84,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0150,2026-04-25,Tableau Prep extract,report_output,definition_drift,122351,510,0.42,Low,pass,Metric logic matches the documented reporting definition
CHK0151,2026-04-26,ATM processor,atm_transactions,vlookup_reconcile,218945,3218,1.47,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0152,2026-04-26,Cash logistics file,cash_loads,definition_drift,102071,450,0.44,Low,pass,Metric logic matches the documented reporting definition
CHK0153,2026-04-26,Field service queue,service_tickets,freshness,23935,372,1.56,Low,pass,Source delivered before daily reporting cutoff
CHK0154,2026-04-26,Merchant portal,device_master,vlookup_reconcile,141929,2348,1.65,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0155,2026-04-26,Merchant portal,merchant_master,definition_drift,67067,235,0.35,Low,pass,Metric logic matches the documented reporting definition
CHK0156,2026-04-26,Tableau Prep extract,report_output,threshold_breach,208635,4373,2.1,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0157,2026-04-27,ATM processor,atm_transactions,definition_drift,174351,498,0.29,Low,pass,Metric logic matches the documented reporting definition
CHK0158,2026-04-27,Cash logistics file,cash_loads,freshness,219368,5302,2.42,Medium,watch,Source delivered before daily reporting cutoff
CHK0159,2026-04-27,Field service queue,service_tickets,duplicate_key,99570,1090,1.09,Low,pass,"Device, merchant, and date keys are unique"
CHK0160,2026-04-27,Merchant portal,device_master,null_required_field,60966,857,1.41,Low,pass,Required reporting dimensions are populated
CHK0161,2026-04-27,Merchant portal,merchant_master,freshness,93030,1407,1.51,Low,pass,Source delivered before daily reporting cutoff
CHK0162,2026-04-27,Tableau Prep extract,report_output,freshness,117988,760,0.64,Low,pass,Source delivered before daily reporting cutoff
CHK0163,2026-04-28,ATM processor,atm_transactions,threshold_breach,187377,4036,2.15,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0164,2026-04-28,Cash logistics file,cash_loads,threshold_breach,64047,165,0.26,Low,pass,Cash and settlement variance remain inside tolerance
CHK0165,2026-04-28,Field service queue,service_tickets,threshold_breach,208337,3119,1.5,Low,pass,Cash and settlement variance remain inside tolerance
CHK0166,2026-04-28,Merchant portal,device_master,definition_drift,179501,944,0.53,Low,pass,Metric logic matches the documented reporting definition
CHK0167,2026-04-28,Merchant portal,merchant_master,threshold_breach,23331,434,1.86,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0168,2026-04-28,Tableau Prep extract,report_output,vlookup_reconcile,97241,813,0.84,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0169,2026-04-29,ATM processor,atm_transactions,vlookup_reconcile,22905,313,1.37,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0170,2026-04-29,Cash logistics file,cash_loads,freshness,32232,519,1.61,Low,pass,Source delivered before daily reporting cutoff
CHK0171,2026-04-29,Field service queue,service_tickets,duplicate_key,148861,1482,1.0,Low,pass,"Device, merchant, and date keys are unique"
CHK0172,2026-04-29,Merchant portal,device_master,vlookup_reconcile,12966,313,2.42,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0173,2026-04-29,Merchant portal,merchant_master,freshness,202582,1546,0.76,Low,pass,Source delivered before daily reporting cutoff
CHK0174,2026-04-29,Tableau Prep extract,report_output,threshold_breach,17870,138,0.78,Low,pass,Cash and settlement variance remain inside tolerance
CHK0175,2026-04-30,ATM processor,atm_transactions,freshness,169807,1760,1.04,Low,pass,Source delivered before daily reporting cutoff
CHK0176,2026-04-30,Cash logistics file,cash_loads,duplicate_key,155351,2286,1.47,Low,pass,"Device, merchant, and date keys are unique"
CHK0177,2026-04-30,Field service queue,service_tickets,duplicate_key,91420,856,0.94,Low,pass,"Device, merchant, and date keys are unique"
CHK0178,2026-04-30,Merchant portal,device_master,null_required_field,45587,476,1.05,Low,pass,Required reporting dimensions are populated
CHK0179,2026-04-30,Merchant portal,merchant_master,freshness,120773,912,0.76,Low,pass,Source delivered before daily reporting cutoff
CHK0180,2026-04-30,Tableau Prep extract,report_output,duplicate_key,48174,434,0.9,Low,pass,"Device, merchant, and date keys are unique"
CHK0181,2026-05-01,ATM processor,atm_transactions,vlookup_reconcile,83301,1200,1.44,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0182,2026-05-01,Cash logistics file,cash_loads,freshness,75491,984,1.3,Low,pass,Source delivered before daily reporting cutoff
CHK0183,2026-05-01,Field service queue,service_tickets,definition_drift,84148,468,0.56,Low,pass,Metric logic matches the documented reporting definition
CHK0184,2026-05-01,Merchant portal,device_master,vlookup_reconcile,115939,1432,1.24,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0185,2026-05-01,Merchant portal,merchant_master,definition_drift,151160,920,0.61,Low,pass,Metric logic matches the documented reporting definition
CHK0186,2026-05-01,Tableau Prep extract,report_output,definition_drift,104171,658,0.63,Low,pass,Metric logic matches the documented reporting definition
CHK0187,2026-05-02,ATM processor,atm_transactions,duplicate_key,189556,817,0.43,Low,pass,"Device, merchant, and date keys are unique"
CHK0188,2026-05-02,Cash logistics file,cash_loads,duplicate_key,130859,1534,1.17,Low,pass,"Device, merchant, and date keys are unique"
CHK0189,2026-05-02,Field service queue,service_tickets,duplicate_key,147916,1585,1.07,Low,pass,"Device, merchant, and date keys are unique"
CHK0190,2026-05-02,Merchant portal,device_master,threshold_breach,168781,1373,0.81,Low,pass,Cash and settlement variance remain inside tolerance
CHK0191,2026-05-02,Merchant portal,merchant_master,definition_drift,213732,502,0.24,Low,pass,Metric logic matches the documented reporting definition
CHK0192,2026-05-02,Tableau Prep extract,report_output,threshold_breach,194860,3076,1.58,Low,pass,Cash and settlement variance remain inside tolerance
CHK0193,2026-05-03,ATM processor,atm_transactions,null_required_field,167315,1212,0.72,Low,pass,Required reporting dimensions are populated
CHK0194,2026-05-03,Cash logistics file,cash_loads,null_required_field,172177,2740,1.59,Low,pass,Required reporting dimensions are populated
CHK0195,2026-05-03,Field service queue,service_tickets,freshness,122301,3374,2.76,Medium,watch,Source delivered before daily reporting cutoff
CHK0196,2026-05-03,Merchant portal,device_master,definition_drift,28334,90,0.32,Low,pass,Metric logic matches the documented reporting definition
CHK0197,2026-05-03,Merchant portal,merchant_master,threshold_breach,105452,928,0.88,Low,pass,Cash and settlement variance remain inside tolerance
CHK0198,2026-05-03,Tableau Prep extract,report_output,definition_drift,93812,288,0.31,Low,pass,Metric logic matches the documented reporting definition
CHK0199,2026-05-04,ATM processor,atm_transactions,duplicate_key,34396,269,0.78,Low,pass,"Device, merchant, and date keys are unique"
CHK0200,2026-05-04,Cash logistics file,cash_loads,null_required_field,203126,2182,1.07,Low,pass,Required reporting dimensions are populated
CHK0201,2026-05-04,Field service queue,service_tickets,vlookup_reconcile,74511,1555,2.09,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0202,2026-05-04,Merchant portal,device_master,duplicate_key,168888,437,0.26,Low,pass,"Device, merchant, and date keys are unique"
CHK0203,2026-05-04,Merchant portal,merchant_master,threshold_breach,8497,105,1.25,Low,pass,Cash and settlement variance remain inside tolerance
CHK0204,2026-05-04,Tableau Prep extract,report_output,threshold_breach,93413,949,1.02,Low,pass,Cash and settlement variance remain inside tolerance
CHK0205,2026-05-05,ATM processor,atm_transactions,null_required_field,138853,1247,0.9,Low,pass,Required reporting dimensions are populated
CHK0206,2026-05-05,Cash logistics file,cash_loads,vlookup_reconcile,23441,724,3.09,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0207,2026-05-05,Field service queue,service_tickets,duplicate_key,218397,1863,0.85,Low,pass,"Device, merchant, and date keys are unique"
CHK0208,2026-05-05,Merchant portal,device_master,threshold_breach,133111,1711,1.29,Low,pass,Cash and settlement variance remain inside tolerance
CHK0209,2026-05-05,Merchant portal,merchant_master,null_required_field,37220,188,0.51,Low,pass,Required reporting dimensions are populated
CHK0210,2026-05-05,Tableau Prep extract,report_output,freshness,187406,788,0.42,Low,pass,Source delivered before daily reporting cutoff
CHK0211,2026-05-06,ATM processor,atm_transactions,vlookup_reconcile,178537,3977,2.23,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0212,2026-05-06,Cash logistics file,cash_loads,freshness,10632,126,1.19,Low,pass,Source delivered before daily reporting cutoff
CHK0213,2026-05-06,Field service queue,service_tickets,definition_drift,27190,139,0.51,Low,pass,Metric logic matches the documented reporting definition
