date,entity_id,metric_name,withdrawal_transactions,deposit_transactions,surcharge_revenue,cash_loaded,cash_variance,settlement_variance,uptime_pct,jam_count,service_minutes_down,automation_minutes_saved,quality_score,priority_score,report_ready_flag
2026-01-02,DEV019,device_daily_operations,459,196,1548.41,36717.0,4.04,1.67,98.94,1,67.8,53,95.7,21.8,Y
2026-01-02,DEV020,device_daily_operations,341,75,1147.79,22333.85,62.42,22.61,96.78,0,25.2,39,98.4,29.8,Y
2026-01-02,DEV021,device_daily_operations,222,69,621.71,15171.15,61.84,17.71,99.9,0,0.8,12,99.3,9.6,Y
2026-01-02,DEV022,device_daily_operations,339,156,975.92,24559.19,-46.39,-9.23,95.45,1,100.0,26,94.1,41.8,Y
2026-01-02,DEV023,device_daily_operations,159,94,528.68,11284.6,-80.88,-25.17,98.93,2,94.2,58,92.1,38.2,Y
2026-01-02,DEV024,device_daily_operations,178,90,646.17,14298.6,-0.94,-0.26,100,0,0,51,100.0,14.9,Y
2026-01-02,DEV025,device_daily_operations,287,93,946.05,19542.64,-172.43,-61.87,98.82,1,51.3,13,94.5,25.6,Y
2026-01-02,DEV026,device_daily_operations,142,54,394.76,9740.41,-93.76,-31.01,97.63,1,71.4,29,94.6,30.7,Y
2026-01-02,DEV027,device_daily_operations,156,65,465.08,13570.06,-75.72,-23.43,97.47,1,73.5,38,94.7,38.1,Y
2026-01-02,DEV028,device_daily_operations,374,133,1358.35,34666.36,-85.35,-16.9,100,0,0,31,99.1,9.5,Y
2026-01-02,DEV029,device_daily_operations,175,119,498.31,11086.75,4.08,1.39,100,0,0,24,100.0,8.0,Y
2026-01-02,DEV030,device_daily_operations,34,12,97.78,3122.92,45.55,15.15,97.02,0,44.1,47,97.9,25.1,Y
2026-01-02,DEV031,device_daily_operations,146,56,499.03,8786.41,46.51,12.51,98.24,1,78.7,34,94.9,26.4,Y
2026-01-02,DEV032,device_daily_operations,141,44,400.36,11481.24,-110.86,-38.32,94.66,0,52.5,57,96.9,46.3,Y
2026-01-02,DEV033,device_daily_operations,250,71,821.86,13713.57,15.59,6.36,98.99,0,9.6,36,99.5,16.8,Y
2026-01-02,DEV034,device_daily_operations,211,99,730.01,16424.09,-15.27,-3.51,96.93,0,33.6,71,98.6,32.0,Y
2026-01-02,DEV035,device_daily_operations,194,69,636.31,10598.46,30.3,10.26,98.88,0,18.4,42,99.0,14.6,Y
2026-01-02,DEV036,device_daily_operations,223,84,621.95,19028.38,-20.52,-7.53,95.19,0,62.8,41,97.5,37.8,Y
2026-01-03,DEV001,device_daily_operations,463,278,1407.47,27749.14,90.36,25.51,100,1,23.0,56,96.4,20.6,Y
2026-01-03,DEV002,device_daily_operations,188,109,536.36,15075.44,-24.5,-7.53,96.7,0,27.0,47,98.8,26.5,Y
2026-01-03,DEV003,device_daily_operations,514,184,1531.41,47361.86,27.69,8.0,96.7,0,40.0,45,98.3,29.7,Y
2026-01-03,DEV004,device_daily_operations,592,230,1984.98,41695.95,23.01,8.62,98.65,0,18.5,35,99.1,15.7,Y
2026-01-03,DEV005,device_daily_operations,498,128,1526.42,37972.81,-24.67,-7.86,100,0,0,63,99.7,8.4,Y
2026-01-03,DEV006,device_daily_operations,189,53,660.84,12227.9,-231.88,-87.28,98.89,0,8.1,27,97.1,21.3,Y
2026-01-03,DEV007,device_daily_operations,228,139,645.83,17150.0,-76.2,-16.33,98.8,0,19.1,37,98.5,22.9,Y
2026-01-03,DEV008,device_daily_operations,338,180,944.64,19354.98,107.61,34.03,96.3,0,32.9,44,97.6,30.2,Y
2026-01-03,DEV009,device_daily_operations,397,141,1280.02,26335.7,36.49,7.56,96.61,0,51.4,47,97.8,30.3,Y
2026-01-03,DEV010,device_daily_operations,221,134,693.41,13076.0,3.78,0.8,99.41,0,4.2,55,99.8,11.3,Y
2026-01-03,DEV011,device_daily_operations,481,156,1572.0,37006.21,-201.19,-77.83,99.25,0,13.5,42,97.3,18.8,Y
2026-01-03,DEV012,device_daily_operations,403,218,1196.5,31254.61,-22.41,-6.51,98.45,0,19.0,28,99.1,23.8,Y
2026-01-03,DEV013,device_daily_operations,527,211,1614.96,43791.15,-73.94,-14.66,97.77,0,20.8,28,98.4,24.6,Y
2026-01-03,DEV014,device_daily_operations,173,82,563.52,13351.92,96.63,32.6,98.76,0,16.0,65,98.4,16.5,Y
2026-01-03,DEV015,device_daily_operations,308,83,862.57,22882.39,336.34,96.04,95.6,0,72.9,46,93.7,45.2,Y
2026-01-03,DEV016,device_daily_operations,262,117,851.21,22446.25,63.13,26.17,96.91,1,90.9,52,94.3,37.2,Y
2026-01-03,DEV017,device_daily_operations,76,50,276.2,4360.36,-75.09,-16.23,96.98,0,53.6,44,97.3,28.9,Y
2026-01-03,DEV018,device_daily_operations,234,86,769.41,20023.16,-7.21,-1.93,99.75,1,65.1,34,95.8,20.5,Y
2026-01-03,DEV019,device_daily_operations,309,127,1034.3,28016.99,-55.4,-18.7,97.48,1,82.7,25,94.6,30.8,Y
2026-01-03,DEV020,device_daily_operations,341,106,1153.45,31332.56,88.23,22.44,96.13,0,64.9,60,96.7,33.9,Y
2026-01-03,DEV021,device_daily_operations,493,206,1424.5,32455.02,-0.77,-0.31,97.75,0,21.0,63,99.2,20.3,Y
2026-01-03,DEV022,device_daily_operations,98,51,342.82,8314.7,-79.26,-30.94,97.91,0,18.5,28,98.5,20.8,Y
2026-01-03,DEV023,device_daily_operations,157,61,475.48,13556.16,146.3,47.77,95.81,0,41.1,15,96.9,40.6,Y
2026-01-03,DEV024,device_daily_operations,352,124,1226.79,30289.73,-142.58,-52.0,96.58,0,41.1,24,96.9,36.3,Y
2026-01-03,DEV025,device_daily_operations,148,56,443.34,13351.41,7.61,2.67,96.52,0,27.8,41,98.9,27.2,Y
2026-01-03,DEV026,device_daily_operations,154,56,561.34,10625.46,-63.82,-25.74,100,0,0,49,99.3,9.1,Y
2026-01-03,DEV027,device_daily_operations,81,38,274.18,5827.47,-107.42,-20.32,97.17,1,114.1,33,92.9,40.4,Y
2026-01-03,DEV028,device_daily_operations,73,29,203.89,5167.89,36.12,11.78,98.25,0,17.3,54,99.0,18.2,Y
2026-01-03,DEV029,device_daily_operations,235,90,697.13,16605.74,0.05,0.02,96.07,0,27.6,29,99.0,29.5,Y
2026-01-03,DEV030,device_daily_operations,56,27,203.44,3592.18,-13.61,-4.11,99.97,1,42.2,45,96.5,16.3,Y
2026-01-03,DEV031,device_daily_operations,43,20,149.73,2623.15,54.96,17.57,98.18,0,20.4,33,98.7,18.9,Y
2026-01-03,DEV032,device_daily_operations,219,75,664.45,14542.26,34.58,14.06,97.84,0,35.6,44,98.3,27.4,Y
2026-01-03,DEV033,device_daily_operations,198,67,686.94,14152.65,87.4,23.22,97.74,0,24.8,12,98.1,25.0,Y
2026-01-03,DEV034,device_daily_operations,237,50,742.3,16880.16,180.89,54.16,94.22,1,160.1,33,90.5,57.9,Y
2026-01-03,DEV035,device_daily_operations,121,55,411.9,10946.18,38.8,12.6,100,0,0,52,99.6,8.6,Y
2026-01-03,DEV036,device_daily_operations,239,179,839.8,19388.53,-9.65,-2.58,98.4,0,29.5,20,98.8,20.0,Y
2026-01-04,DEV001,device_daily_operations,412,167,1297.61,23515.07,-120.55,-38.11,98.07,0,35.4,28,97.4,23.8,Y
2026-01-04,DEV002,device_daily_operations,153,73,527.46,12570.71,-56.5,-20.15,97.34,0,36.6,42,98.1,23.6,Y
2026-01-04,DEV003,device_daily_operations,265,98,922.06,24566.15,-74.7,-28.73,99.41,0,7.3,51,98.9,15.6,Y
2026-01-04,DEV004,device_daily_operations,269,87,862.92,15831.86,-23.63,-5.15,96.79,0,29.2,19,98.7,26.0,Y
2026-01-04,DEV005,device_daily_operations,232,78,702.58,21804.24,3.28,0.96,96.54,0,61.0,41,97.8,27.0,Y
2026-01-04,DEV006,device_daily_operations,305,164,990.08,23640.99,-44.97,-15.03,98.08,0,21.4,49,98.7,22.4,Y
2026-01-04,DEV007,device_daily_operations,120,90,426.65,10540.48,30.42,6.68,98.26,0,19.4,63,99.0,25.0,Y
2026-01-04,DEV008,device_daily_operations,295,170,986.14,24433.47,127.81,25.87,97.71,0,32.0,26,97.4,22.8,Y
2026-01-04,DEV009,device_daily_operations,356,99,1153.8,28364.76,1857.42,676.23,97.97,0,26.3,29,78.4,55.9,N
2026-01-04,DEV010,device_daily_operations,210,129,604.65,18576.47,-71.21,-13.84,97.52,0,23.5,48,98.4,22.9,Y
2026-01-04,DEV011,device_daily_operations,298,68,857.28,16695.22,-10.46,-3.29,98.64,0,13.9,57,99.4,18.7,Y
2026-01-04,DEV012,device_daily_operations,390,120,1236.35,34773.58,-86.75,-35.06,100,0,0,32,99.0,16.4,Y
2026-01-04,DEV013,device_daily_operations,484,159,1623.95,31668.09,-9.32,-2.47,93.63,1,171.1,47,92.0,54.2,Y
2026-01-04,DEV014,device_daily_operations,83,25,249.81,5764.68,-81.68,-21.88,99.96,0,0.4,53,99.1,9.6,Y
2026-01-04,DEV015,device_daily_operations,328,110,1124.87,20323.64,-14.59,-6.04,99.9,0,1.2,58,99.8,15.7,Y
2026-01-04,DEV016,device_daily_operations,344,156,1044.62,23983.06,40.0,12.19,100,1,57.0,67,95.7,19.7,Y
2026-01-04,DEV017,device_daily_operations,201,84,658.34,17259.91,-7.4,-2.17,95.95,1,77.7,43,95.3,41.4,Y
2026-01-04,DEV018,device_daily_operations,76,32,251.39,6661.15,-231.77,-54.38,95.41,1,125.0,47,91.2,48.5,Y
2026-01-04,DEV019,device_daily_operations,161,54,555.04,14622.15,-51.45,-14.71,95.82,0,39.5,49,98.0,31.8,Y
2026-01-04,DEV020,device_daily_operations,99,32,303.82,8403.08,-138.23,-37.38,92.54,1,151.9,37,91.2,62.5,Y
2026-01-04,DEV021,device_daily_operations,202,83,644.4,14784.81,96.13,39.75,98.1,0,18.1,53,98.3,20.1,Y
2026-01-04,DEV022,device_daily_operations,420,116,1210.37,23386.72,32.77,8.88,97.93,1,107.2,38,94.0,27.9,Y
2026-01-04,DEV023,device_daily_operations,89,50,304.1,5657.84,139.03,43.0,97.41,1,79.4,32,93.8,39.6,Y
2026-01-04,DEV024,device_daily_operations,77,26,279.52,4644.46,-30.5,-10.74,97.14,1,73.2,57,95.2,39.1,Y
2026-01-04,DEV025,device_daily_operations,261,125,917.49,14483.39,-12.86,-5.12,99.42,1,71.7,52,95.5,19.3,Y
2026-01-04,DEV026,device_daily_operations,107,75,378.68,5817.66,-7.13,-2.63,98.45,0,27.1,64,99.0,16.6,Y
2026-01-04,DEV027,device_daily_operations,238,95,695.8,13924.4,115.41,35.3,96.59,0,44.5,36,97.1,35.7,Y
2026-01-04,DEV028,device_daily_operations,136,38,483.8,11842.82,-10.73,-2.69,98.0,0,28.7,33,98.9,19.1,Y
2026-01-04,DEV029,device_daily_operations,166,91,599.03,10968.92,60.02,24.28,100,0,0,42,99.3,9.0,Y
2026-01-04,DEV030,device_daily_operations,242,84,833.17,19750.01,-12.61,-3.2,97.85,0,38.1,51,98.5,20.0,Y
2026-01-04,DEV031,device_daily_operations,109,56,352.48,8781.45,-11.36,-4.74,99.81,0,3.4,58,99.8,9.2,Y
2026-01-04,DEV032,device_daily_operations,98,26,349.13,6084.45,-70.29,-21.56,95.16,0,40.4,67,97.8,42.7,Y
2026-01-04,DEV033,device_daily_operations,202,91,579.49,14264.63,-3.31,-1.06,97.01,0,49.9,51,98.2,27.5,Y
2026-01-04,DEV034,device_daily_operations,329,129,1112.13,24887.71,-154.06,-57.92,98.38,0,12.2,22,97.9,26.5,Y
2026-01-04,DEV035,device_daily_operations,80,30,246.96,7172.27,-5.62,-2.05,98.42,0,23.3,12,99.1,16.7,Y
2026-01-04,DEV036,device_daily_operations,291,61,903.19,17196.32,81.1,25.09,96.08,0,35.8,30,97.8,34.0,Y
2026-01-05,DEV001,device_daily_operations,274,66,821.48,25070.02,-19.27,-5.43,99.57,0,5.4,49,99.6,13.7,Y
2026-01-05,DEV002,device_daily_operations,202,74,683.36,11301.3,-143.2,-34.05,95.23,1,119.9,50,92.3,44.7,Y
2026-01-05,DEV003,device_daily_operations,106,54,346.59,8999.56,250.66,75.43,98.45,0,24.4,68,96.3,24.1,Y
2026-01-05,DEV004,device_daily_operations,317,192,1050.35,22534.9,-10.06,-2.48,99.99,0,0.2,34,99.9,8.2,Y
2026-01-05,DEV005,device_daily_operations,489,191,1553.15,43019.11,-70.89,-24.61,97.08,0,26.9,48,98.3,25.3,Y
2026-01-05,DEV006,device_daily_operations,310,110,1032.93,28175.6,10.17,2.85,97.26,0,27.5,39,98.9,26.2,Y
2026-01-05,DEV007,device_daily_operations,416,174,1395.39,26075.15,127.44,41.38,97.95,0,33.1,35,97.4,28.5,Y
2026-01-05,DEV008,device_daily_operations,253,81,854.14,20784.14,-4.33,-1.78,98.32,2,87.4,81,93.2,33.2,Y
2026-01-05,DEV009,device_daily_operations,424,128,1472.35,35148.13,-123.93,-32.99,98.05,0,25.3,59,97.7,24.0,Y
2026-01-05,DEV010,device_daily_operations,348,114,1049.45,21522.99,61.13,13.14,96.29,0,51.8,76,97.5,29.4,Y
2026-01-05,DEV011,device_daily_operations,191,135,604.47,15912.38,0.82,0.2,95.47,1,115.6,12,94.1,43.9,Y
2026-01-05,DEV012,device_daily_operations,371,185,1243.37,31376.79,28.33,9.46,93.93,0,104.2,43,96.0,48.8,Y
2026-01-05,DEV013,device_daily_operations,348,160,1163.49,19010.99,24.77,7.17,98.63,1,72.9,49,95.3,27.0,Y
2026-01-05,DEV014,device_daily_operations,362,153,1030.37,20942.63,-11.08,-2.04,96.79,0,53.5,21,98.0,25.8,Y
2026-01-05,DEV015,device_daily_operations,157,86,463.66,12773.78,131.97,26.26,97.46,1,87.2,37,93.6,39.2,Y
2026-01-05,DEV016,device_daily_operations,95,30,333.53,7580.65,-46.22,-14.45,97.84,0,19.5,42,98.8,23.7,Y
2026-01-05,DEV017,device_daily_operations,182,87,652.11,16374.99,-2325.38,-804.93,99.42,0,10.5,18,73.8,56.5,N
2026-01-05,DEV018,device_daily_operations,366,142,1060.01,23284.51,-14.99,-3.22,97.97,1,73.9,16,95.4,30.5,Y
2026-01-05,DEV019,device_daily_operations,264,89,829.85,23112.4,82.31,28.43,96.1,1,67.5,53,94.9,38.9,Y
2026-01-05,DEV020,device_daily_operations,217,88,780.56,15466.44,-155.63,-51.7,94.32,0,55.3,25,96.3,45.1,Y
2026-01-05,DEV021,device_daily_operations,339,139,1042.3,19547.02,-113.52,-24.64,98.8,0,19.0,21,98.1,16.6,Y
2026-01-05,DEV022,device_daily_operations,157,100,444.9,12233.72,16.64,5.22,98.6,0,11.3,41,99.4,15.9,Y
2026-01-05,DEV023,device_daily_operations,223,89,689.66,13280.45,109.15,34.31,95.1,1,125.9,41,92.5,51.8,Y
2026-01-05,DEV024,device_daily_operations,205,98,673.31,12673.5,84.96,31.25,98.12,0,29.4,69,98.0,26.7,Y
2026-01-05,DEV025,device_daily_operations,114,48,413.46,6776.73,76.03,29.42,95.62,0,74.0,47,96.5,33.4,Y
2026-01-05,DEV026,device_daily_operations,174,71,516.46,12013.34,5.34,1.37,97.06,0,54.7,20,98.0,24.2,Y
2026-01-05,DEV027,device_daily_operations,190,150,597.48,12474.12,397.93,144.94,99.19,1,45.8,46,92.1,34.5,Y
2026-01-05,DEV028,device_daily_operations,106,24,334.34,8259.24,41.3,9.83,96.47,0,58.2,22,97.5,28.1,Y
2026-01-05,DEV029,device_daily_operations,95,55,317.47,6479.03,1959.74,734.81,99.19,0,6.7,9,78.0,48.0,N
2026-01-05,DEV030,device_daily_operations,37,17,119.03,2857.17,-78.23,-29.03,95.53,0,43.2,46,97.6,33.9,Y
2026-01-05,DEV031,device_daily_operations,202,101,576.6,18508.66,13.05,2.82,95.7,1,68.3,41,95.6,39.8,Y
2026-01-05,DEV032,device_daily_operations,68,37,236.58,3985.03,-83.62,-17.01,97.9,0,16.4,25,98.5,27.9,Y
2026-01-05,DEV033,device_daily_operations,113,39,391.88,8948.52,128.93,28.61,100,0,0,58,98.6,13.3,Y
2026-01-05,DEV034,device_daily_operations,114,43,385.71,9785.8,25.82,8.32,99.66,0,3.3,57,99.6,17.2,Y
2026-01-05,DEV035,device_daily_operations,362,155,1122.12,25232.04,44.84,10.9,98.6,0,20.5,28,98.8,16.4,Y
2026-01-05,DEV036,device_daily_operations,80,56,237.18,4694.24,-93.69,-23.55,95.63,0,37.6,37,97.6,36.7,Y
2026-01-06,DEV001,device_daily_operations,322,106,1046.31,23694.59,34.33,7.71,97.04,0,43.6,24,98.1,27.9,Y
2026-01-06,DEV002,device_daily_operations,205,109,655.07,16684.51,-126.12,-37.37,95.71,0,59.0,55,96.5,33.8,Y
2026-01-06,DEV003,device_daily_operations,357,117,1128.69,29881.16,143.69,33.47,98.83,1,79.3,44,93.8,28.1,Y
2026-01-06,DEV004,device_daily_operations,397,173,1169.84,28189.46,104.89,28.12,100,0,0,38,98.8,9.8,Y
2026-01-06,DEV005,device_daily_operations,211,202,720.32,17210.29,26.56,7.58,96.64,1,102.0,41,94.3,34.9,Y
2026-01-06,DEV006,device_daily_operations,400,179,1205.35,30763.77,84.11,22.22,98.09,0,20.8,60,98.3,23.0,Y
2026-01-06,DEV007,device_daily_operations,549,179,1633.12,45268.23,250.18,100.2,100,2,52.0,40,91.8,35.4,Y
2026-01-06,DEV008,device_daily_operations,262,69,815.49,22005.93,8.02,2.24,95.96,0,71.0,48,97.4,30.3,Y
2026-01-06,DEV009,device_daily_operations,280,154,970.51,19574.42,-127.32,-25.76,94.99,1,98.9,38,93.3,48.9,Y
2026-01-06,DEV010,device_daily_operations,415,121,1159.33,24062.94,67.65,14.3,97.47,1,110.8,20,93.5,31.0,Y
2026-01-06,DEV011,device_daily_operations,553,179,1599.87,50493.89,118.61,33.53,98.77,2,95.7,41,91.7,35.9,Y
2026-01-06,DEV012,device_daily_operations,311,130,1038.72,25548.0,126.67,24.38,99.54,0,7.4,24,98.3,19.7,Y
2026-01-06,DEV013,device_daily_operations,72,32,206.56,4091.99,-70.24,-12.78,96.19,0,66.0,48,96.9,33.2,Y
2026-01-06,DEV014,device_daily_operations,357,148,1027.65,26853.66,43.5,11.83,99.27,0,10.7,13,99.1,12.7,Y
2026-01-06,DEV015,device_daily_operations,70,28,201.32,4124.84,78.58,31.49,96.83,0,30.5,31,98.0,33.7,Y
2026-01-06,DEV016,device_daily_operations,258,145,715.73,22673.76,-76.25,-18.27,98.11,0,19.7,27,98.4,22.8,Y
2026-01-06,DEV017,device_daily_operations,255,132,815.9,19828.08,96.56,35.54,98.4,0,18.6,31,98.3,21.6,Y
2026-01-06,DEV018,device_daily_operations,375,151,1353.38,31805.51,69.84,26.63,96.9,0,28.1,50,98.2,29.3,Y
2026-01-06,DEV019,device_daily_operations,78,33,263.77,4469.17,166.27,45.81,98.83,0,19.0,65,97.5,17.4,Y
2026-01-06,DEV020,device_daily_operations,339,151,1186.86,27541.12,21.26,8.8,98.36,0,23.0,53,98.9,20.4,Y
2026-01-06,DEV021,device_daily_operations,100,56,341.75,8362.63,-16.03,-6.44,99.18,1,66.3,55,95.7,20.7,Y
2026-01-06,DEV022,device_daily_operations,130,50,448.89,8417.58,5.42,1.65,99.92,0,0.9,31,99.9,8.5,Y
2026-01-06,DEV023,device_daily_operations,119,47,354.57,6915.83,-1658.0,-501.69,97.93,1,46.6,28,78.1,64.4,N
2026-01-06,DEV024,device_daily_operations,327,127,1173.29,28873.91,-8.72,-1.6,97.48,1,74.5,46,95.4,36.9,Y
2026-01-06,DEV025,device_daily_operations,358,89,1146.26,32247.8,-38.44,-15.37,97.41,0,35.8,67,98.3,22.8,Y
2026-01-06,DEV026,device_daily_operations,152,79,419.09,9428.08,18.72,7.26,99.6,0,3.2,29,99.7,10.4,Y
2026-01-06,DEV027,device_daily_operations,354,87,1051.6,19206.31,116.65,48.93,97.56,0,33.1,17,97.5,30.4,Y
2026-01-06,DEV028,device_daily_operations,311,114,1130.42,22016.51,477.65,161.33,96.44,0,29.4,22,93.6,36.2,Y
2026-01-06,DEV029,device_daily_operations,56,21,158.28,3238.09,11.08,4.24,97.96,0,25.5,58,99.0,19.3,Y
2026-01-06,DEV030,device_daily_operations,65,25,219.74,5421.92,-7.36,-1.56,97.57,0,44.0,70,98.3,21.4,Y
2026-01-06,DEV031,device_daily_operations,110,55,355.56,10184.39,-7.07,-1.46,98.86,0,12.2,52,99.5,14.3,Y
2026-01-06,DEV032,device_daily_operations,78,42,224.91,6430.81,-24.56,-6.21,97.9,0,20.1,22,99.0,26.8,Y
